,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
Union County,Mississippi,12%,12%,n/a**,,"$16,159","$16,159",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,21%,,86%,85%,93%,,"$49,811","$53,527","$33,366"
Walthall County,Mississippi,10%,n/a*,n/a**,,n/a*,n/a*,n/a**,,15%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,n/a*,n/a**,,47%,,89%,88%,91%,,"$45,730","$57,744","$30,388"
Warren County,Mississippi,18%,n/a*,n/a**,,"$15,908",n/a*,n/a**,,18%,n/a*,n/a**,,n/a*,n/a*,n/a**,,$154,n/a*,n/a**,,3%,n/a*,n/a**,,51%,,76%,71%,81%,,"$55,951","$71,003","$39,918"
Washington County,Mississippi,23%,n/a*,24%,,"$20,870",n/a*,"$19,598",,27%,n/a*,28%,,"$6,607",n/a*,"$6,288",,$175,n/a*,$157,,6%,n/a*,7%,,74%,,81%,74%,84%,,"$44,255","$66,547","$34,638"
Wayne County,Mississippi,13%,13%,12%,,n/a*,n/a*,n/a*,,20%,21%,14%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,3%,2%,,41%,,86%,83%,93%,,"$52,172","$62,343","$34,795"
Webster County,Mississippi,15%,15%,n/a**,,n/a*,n/a*,n/a**,,30%,30%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,22%,,83%,80%,93%,,"$48,007","$54,561","$24,234"
Wilkinson County,Mississippi,13%,n/a**,13%,,n/a*,n/a**,n/a*,,18%,n/a**,18%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,2%,n/a**,2%,,71%,,85%,80%,88%,,"$41,067","$56,864","$33,298"
Winston County,Mississippi,17%,n/a*,n/a*,,n/a*,n/a*,n/a*,,20%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,n/a*,,49%,,83%,75%,93%,,"$46,755","$57,739","$32,905"
Yalobusha County,Mississippi,22%,22%,n/a**,,n/a*,n/a*,n/a**,,28%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,6%,5%,n/a**,,41%,,88%,84%,93%,,"$46,534","$51,202","$39,386"
Yazoo County,Mississippi,20%,13%,23%,,"$11,639",n/a*,"$12,520",,33%,38%,32%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,7%,5%,7%,,64%,,87%,80%,91%,,"$41,110","$55,262","$30,300"
Adair County,Missouri,18%,18%,n/a**,,"$15,787","$15,787",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,9%,,70%,70%,68%,,"$50,135","$53,003","$20,269"
Andrew County,Missouri,14%,14%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,77%,77%,59%,,"$67,858","$68,132","$60,640"
Atchison County,Missouri,14%,14%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,77%,77%,79%,,"$56,518","$56,766","$47,362"
Audrain County,Missouri,15%,15%,n/a**,,"$13,219","$13,219",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,13%,,88%,88%,91%,,"$50,691","$52,195","$35,693"
Barry County,Missouri,12%,12%,n/a*,,"$9,204","$9,204",n/a*,,18%,18%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,2%,n/a*,,13%,,86%,85%,95%,,"$48,775","$49,260","$42,593"
Barton County,Missouri,17%,17%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,7%,,83%,84%,79%,,"$51,712","$51,894","$48,388"
Bates County,Missouri,13%,13%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,87%,87%,89%,,"$52,902","$53,510","$39,147"
Benton County,Missouri,15%,15%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,5%,,89%,89%,91%,,"$42,782","$43,075","$32,323"
Bollinger County,Missouri,9%,9%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,90%,90%,84%,,"$49,265","$49,691","$26,663"
Boone County,Missouri,23%,23%,n/a**,,"$19,997","$19,898",n/a**,,12%,12%,n/a**,,"$8,903","$8,903",n/a**,,$210,$210,n/a**,,3%,3%,n/a**,,20%,,52%,50%,61%,,"$66,751","$70,455","$49,403"
Buchanan County,Missouri,18%,18%,n/a**,,"$15,524","$15,524",n/a**,,21%,21%,n/a**,,"$9,126","$8,972",n/a**,,$131,$131,n/a**,,4%,4%,n/a**,,15%,,79%,78%,84%,,"$58,915","$61,336","$42,633"
Butler County,Missouri,12%,12%,n/a**,,"$12,715","$12,838",n/a**,,20%,19%,n/a**,,n/a*,n/a*,n/a**,,$114,$114,n/a**,,2%,2%,n/a**,,11%,,85%,85%,86%,,"$48,304","$49,138","$39,259"
Caldwell County,Missouri,12%,12%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,5%,,83%,82%,97%,,"$55,506","$55,788","$48,933"
Callaway County,Missouri,17%,17%,n/a**,,"$14,137","$14,137",n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,$132,$132,n/a**,,1%,1%,n/a**,,10%,,80%,79%,82%,,"$58,407","$59,725","$36,639"
Camden County,Missouri,12%,12%,n/a**,,"$19,272","$19,272",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,$159,$159,n/a**,,1%,1%,n/a**,,5%,,79%,79%,78%,,"$58,910","$59,756","$32,409"
Cape Girardeau County,Missouri,18%,18%,n/a**,,"$16,240","$16,240",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,$148,$146,n/a**,,2%,2%,n/a**,,13%,,71%,71%,73%,,"$73,755","$78,005","$41,730"
Carroll County,Missouri,10%,10%,n/a**,,n/a*,n/a*,n/a**,,19%,19%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,83%,83%,86%,,"$56,698","$57,543","$22,740"
Carter County,Missouri,7%,7%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,89%,88%,99%,,"$49,224","$50,430","$25,763"
Cass County,Missouri,17%,17%,n/a*,,"$16,288","$16,288",n/a*,,15%,15%,n/a*,,n/a*,n/a*,n/a*,,$161,$161,n/a*,,2%,2%,n/a*,,11%,,74%,75%,63%,,"$75,677","$75,943","$72,867"
Cedar County,Missouri,11%,11%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,86%,85%,98%,,"$42,411","$42,549","$36,795"
Chariton County,Missouri,11%,11%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,85%,85%,93%,,"$52,222","$53,130","$26,890"
Christian County,Missouri,19%,19%,n/a**,,"$16,545","$16,545",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,$151,$151,n/a**,,2%,2%,n/a**,,6%,,76%,75%,93%,,"$62,586","$63,520","$40,109"
Clark County,Missouri,11%,11%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,87%,87%,87%,,"$54,976","$55,412","$36,967"
Clay County,Missouri,19%,19%,n/a**,,"$17,702","$18,007",n/a**,,11%,11%,n/a**,,"$10,882","$10,882",n/a**,,$168,$168,n/a**,,2%,2%,n/a**,,18%,,68%,68%,71%,,"$79,896","$80,243","$77,909"
Clinton County,Missouri,16%,16%,n/a**,,"$11,902","$11,902",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,82%,82%,87%,,"$64,845","$64,917","$63,484"
Cole County,Missouri,18%,18%,n/a**,,"$18,740","$18,516",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,$175,$173,n/a**,,3%,3%,n/a**,,18%,,67%,67%,72%,,"$66,427","$69,967","$44,780"
Cooper County,Missouri,15%,15%,n/a**,,n/a*,n/a*,n/a**,,26%,26%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,11%,,81%,80%,85%,,"$60,106","$61,801","$32,787"
Crawford County,Missouri,14%,14%,n/a**,,"$11,286","$11,286",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,88%,88%,90%,,"$48,548","$48,684","$44,020"
Dade County,Missouri,15%,15%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,85%,85%,82%,,"$48,963","$49,768","$33,506"
Dallas County,Missouri,14%,14%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,85%,85%,84%,,"$45,702","$46,293","$34,046"
Daviess County,Missouri,9%,9%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,3%,,84%,84%,86%,,"$50,911","$50,995","$41,177"
DeKalb County,Missouri,14%,14%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,18%,,89%,87%,97%,,"$54,483","$54,238","$63,916"
Dent County,Missouri,10%,10%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,5%,,87%,87%,87%,,"$50,028","$50,412","$41,695"
Douglas County,Missouri,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,,91%,91%,95%,,"$41,015","$41,015","$41,026"
Dunklin County,Missouri,9%,9%,n/a**,,"$18,467","$18,467",n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,18%,,88%,88%,93%,,"$43,280","$44,422","$35,835"
Franklin County,Missouri,14%,14%,n/a**,,"$11,909","$11,909",n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,$132,$132,n/a**,,2%,2%,n/a**,,5%,,79%,79%,83%,,"$67,328","$67,856","$53,606"
Gasconade County,Missouri,15%,15%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,3%,,85%,85%,84%,,"$54,142","$54,318","$47,716"
Gentry County,Missouri,21%,21%,n/a**,,n/a*,n/a*,n/a**,,23%,23%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,3%,,81%,81%,84%,,"$50,751","$50,850","$39,022"
Greene County,Missouri,20%,20%,n/a**,,"$16,827","$16,718",n/a**,,17%,17%,n/a**,,"$6,887","$6,855",n/a**,,$159,$159,n/a**,,3%,3%,n/a**,,12%,,69%,68%,78%,,"$57,895","$60,026","$36,703"
Grundy County,Missouri,12%,12%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,83%,83%,86%,,"$47,701","$47,820","$43,122"
Harrison County,Missouri,8%,8%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,88%,88%,86%,,"$48,385","$48,754","$29,668"
Henry County,Missouri,10%,10%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,85%,85%,80%,,"$55,596","$56,154","$41,697"
Hickory County,Missouri,9%,9%,n/a**,,n/a*,n/a*,n/a**,,27%,27%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,90%,90%,92%,,"$40,322","$40,635","$30,109"
Holt County,Missouri,17%,17%,n/a**,,n/a*,n/a*,n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,3%,,81%,80%,94%,,"$54,602","$55,150","$27,352"
Howard County,Missouri,18%,18%,n/a**,,n/a*,n/a*,n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,9%,,76%,75%,85%,,"$57,639","$58,848","$41,033"
Howell County,Missouri,13%,13%,n/a**,,"$14,631","$14,631",n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,85%,86%,74%,,"$45,514","$45,347","$49,501"
Iron County,Missouri,13%,13%,n/a**,,n/a*,n/a*,n/a**,,35%,35%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,5%,5%,n/a**,,5%,,88%,88%,84%,,"$47,838","$48,022","$42,938"
Jackson County,Missouri,20%,20%,18%,,"$18,489","$18,500","$16,030",,16%,12%,31%,,"$9,253","$9,562","$7,889",,$169,$180,$153,,3%,2%,5%,,38%,,70%,64%,82%,,"$66,501","$75,753","$47,945"
Jasper County,Missouri,16%,16%,n/a**,,"$14,743","$14,743",n/a**,,16%,15%,n/a**,,"$10,115",n/a*,n/a**,,$151,$152,n/a**,,3%,2%,n/a**,,15%,,75%,74%,81%,,"$59,725","$61,926","$43,676"
Jefferson County,Missouri,18%,18%,n/a**,,"$15,378","$15,475",n/a**,,12%,12%,n/a**,,"$8,663","$8,663",n/a**,,$153,$153,n/a**,,2%,2%,n/a**,,5%,,82%,82%,80%,,"$69,138","$69,352","$63,231"
Johnson County,Missouri,20%,20%,n/a**,,"$15,925","$15,925",n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,$129,$129,n/a**,,2%,2%,n/a**,,13%,,74%,74%,68%,,"$59,996","$60,790","$53,926"
Knox County,Missouri,12%,12%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,4%,,85%,84%,100%,,"$52,849","$53,251","$34,414"
Laclede County,Missouri,14%,14%,n/a**,,"$12,250","$12,250",n/a**,,21%,21%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,86%,86%,89%,,"$49,344","$49,469","$46,320"
Lafayette County,Missouri,15%,15%,n/a**,,"$16,171","$16,171",n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,$160,$160,n/a**,,4%,4%,n/a**,,8%,,82%,82%,82%,,"$60,133","$61,049","$47,041"
Lawrence County,Missouri,13%,13%,n/a**,,"$11,220","$11,220",n/a**,,16%,16%,n/a**,,n/a*,n/a*,n/a**,,$129,$129,n/a**,,2%,2%,n/a**,,10%,,83%,83%,92%,,"$50,585","$51,227","$41,394"
Lewis County,Missouri,13%,13%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,8%,,87%,86%,92%,,"$51,593","$51,721","$49,207"
Lincoln County,Missouri,17%,17%,n/a**,,"$16,967","$16,967",n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,$145,$145,n/a**,,3%,3%,n/a**,,6%,,85%,85%,85%,,"$62,061","$62,927","$44,265"
Linn County,Missouri,12%,12%,n/a**,,n/a*,n/a*,n/a**,,21%,21%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,86%,86%,90%,,"$48,959","$49,355","$34,641"
Livingston County,Missouri,9%,9%,n/a**,,n/a*,n/a*,n/a**,,22%,22%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,7%,,80%,79%,93%,,"$57,966","$58,729","$24,966"
McDonald County,Missouri,9%,11%,n/a**,,n/a*,n/a*,n/a**,,22%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,21%,,88%,86%,95%,,"$48,108","$49,700","$38,141"
Macon County,Missouri,11%,11%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,6%,,84%,84%,93%,,"$46,962","$47,702","$27,634"
Madison County,Missouri,10%,10%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,89%,90%,58%,,"$42,811","$42,917","$38,910"
Maries County,Missouri,12%,12%,n/a**,,n/a*,n/a*,n/a**,,7%,7%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,4%,,85%,84%,100%,,"$49,939","$50,181","$43,904"
Marion County,Missouri,17%,17%,n/a**,,"$16,688","$16,688",n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,$136,$136,n/a**,,2%,2%,n/a**,,9%,,81%,80%,87%,,"$53,612","$54,347","$43,660"
Mercer County,Missouri,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,,86%,86%,81%,,"$49,335","$49,593","$35,704"
Miller County,Missouri,16%,16%,n/a**,,"$13,390","$13,390",n/a**,,17%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,84%,83%,90%,,"$51,950","$53,144","$23,906"
Mississippi County,Missouri,11%,11%,n/a**,,n/a*,n/a*,n/a**,,4%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,1%,n/a**,,28%,,89%,87%,97%,,"$43,641","$49,670","$22,722"
Moniteau County,Missouri,14%,14%,n/a**,,n/a*,n/a*,n/a**,,12%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,10%,,82%,80%,95%,,"$58,633","$58,892","$53,169"
Monroe County,Missouri,15%,15%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,86%,86%,79%,,"$50,215","$50,876","$34,421"
Montgomery County,Missouri,9%,9%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,88%,87%,90%,,"$50,036","$51,035","$28,063"
Morgan County,Missouri,9%,9%,n/a**,,n/a*,n/a*,n/a**,,9%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,87%,86%,96%,,"$45,216","$45,810","$31,988"
New Madrid County,Missouri,15%,13%,n/a**,,n/a*,n/a*,n/a**,,20%,16%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,2%,n/a**,,20%,,88%,88%,93%,,"$48,634","$51,965","$33,688"
Newton County,Missouri,14%,14%,n/a**,,"$11,408","$11,347",n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,$157,$154,n/a**,,3%,3%,n/a**,,13%,,81%,81%,86%,,"$59,194","$60,464","$47,760"
Nodaway County,Missouri,21%,21%,n/a**,,"$16,999","$16,999",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,7%,,76%,76%,71%,,"$47,504","$47,963","$30,889"
Oregon County,Missouri,9%,9%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,6%,,89%,89%,92%,,"$40,438","$40,779","$34,647"
Osage County,Missouri,16%,16%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,2%,,82%,83%,79%,,"$61,018","$61,227","$43,333"
Ozark County,Missouri,11%,11%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,4%,,87%,87%,84%,,"$38,644","$39,233","$21,555"
Pemiscot County,Missouri,8%,8%,n/a**,,n/a*,n/a*,n/a**,,25%,29%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,31%,,88%,87%,92%,,"$41,819","$47,687","$27,141"
Perry County,Missouri,16%,16%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,84%,84%,87%,,"$60,308","$60,834","$42,404"
Pettis County,Missouri,12%,12%,n/a**,,"$11,737","$11,652",n/a**,,19%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,14%,,82%,82%,86%,,"$52,381","$52,772","$48,533"
Phelps County,Missouri,20%,20%,n/a*,,"$17,330","$17,330",n/a*,,11%,11%,n/a*,,n/a*,n/a*,n/a*,,$133,$133,n/a*,,2%,2%,n/a*,,11%,,72%,73%,59%,,"$54,938","$55,877","$46,308"
Pike County,Missouri,16%,16%,n/a**,,n/a*,n/a*,n/a**,,21%,21%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,11%,,87%,86%,99%,,"$52,684","$53,617","$39,931"
Platte County,Missouri,21%,21%,n/a**,,"$18,818","$18,437",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,$181,$181,n/a**,,2%,2%,n/a**,,17%,,58%,58%,60%,,"$88,285","$90,896","$74,307"
Polk County,Missouri,17%,17%,n/a**,,"$15,178","$15,178",n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,6%,,81%,81%,80%,,"$52,355","$52,700","$45,040"
Pulaski County,Missouri,18%,19%,n/a**,,"$11,500","$9,814",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,$119,$123,n/a**,,3%,3%,n/a**,,30%,,76%,78%,70%,,"$55,740","$55,959","$55,113"
Putnam County,Missouri,11%,11%,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,3%,,82%,83%,58%,,"$44,055","$43,852","$58,747"
Ralls County,Missouri,18%,18%,n/a**,,n/a*,n/a*,n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,88%,88%,92%,,"$57,347","$57,505","$47,248"
Randolph County,Missouri,10%,10%,n/a**,,n/a*,n/a*,n/a**,,26%,26%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,11%,,86%,85%,95%,,"$50,617","$51,266","$40,152"
Ray County,Missouri,14%,14%,n/a**,,"$13,653","$13,653",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,6%,,86%,86%,87%,,"$62,142","$61,966","$65,373"
Reynolds County,Missouri,10%,10%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,5%,,92%,92%,95%,,"$48,073","$48,836","$24,938"
Ripley County,Missouri,8%,8%,n/a**,,n/a*,n/a*,n/a**,,6%,6%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,5%,,89%,89%,91%,,"$41,913","$42,202","$32,877"
St. Charles County,Missouri,21%,21%,n/a**,,"$17,655","$17,616",n/a**,,7%,7%,n/a**,,"$11,789","$11,789",n/a**,,$185,$185,n/a**,,1%,1%,n/a**,,13%,,65%,66%,61%,,"$89,589","$91,225","$74,221"
St. Clair County,Missouri,11%,11%,n/a**,,n/a*,n/a*,n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,5%,,89%,89%,94%,,"$42,953","$43,104","$36,788"
Ste. Genevieve County,Missouri,15%,15%,n/a**,,n/a*,n/a*,n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,4%,,87%,87%,86%,,"$58,850","$59,455","$36,078"
St. Francois County,Missouri,14%,14%,n/a**,,"$14,760","$14,760",n/a**,,13%,13%,n/a**,,n/a*,n/a*,n/a**,,$119,$119,n/a**,,2%,2%,n/a**,,8%,,85%,84%,86%,,"$53,890","$53,745","$57,039"
St. Louis County,Missouri,19%,17%,24%,,"$19,000","$19,732","$17,945",,14%,8%,25%,,"$11,280","$12,603","$10,733",,$180,$194,$135,,3%,1%,6%,,33%,,58%,52%,73%,,"$90,390","$101,806","$62,250"
Saline County,Missouri,17%,17%,n/a**,,"$16,707","$16,707",n/a**,,21%,21%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,4%,n/a**,,19%,,81%,80%,92%,,"$51,001","$52,216","$42,818"
Schuyler County,Missouri,14%,14%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,2%,,88%,88%,85%,,"$50,359","$50,504","$41,618"
Scotland County,Missouri,12%,12%,n/a**,,n/a*,n/a*,n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,2%,,85%,85%,100%,,"$53,241","$53,208","$55,995"
Scott County,Missouri,13%,13%,n/a**,,"$14,755","$14,755",n/a**,,22%,22%,n/a**,,n/a*,n/a*,n/a**,,$150,$150,n/a**,,3%,3%,n/a**,,16%,,87%,86%,91%,,"$50,716","$53,076","$35,377"
